,NAME,GENDER,EMAIL_ID,IS_GLOGIN,FOLLOWER_COUNT,FOLLOWING_COUNT,DATASET_COUNT,CODE_COUNT,DISCUSSION_COUNT,AVG_NB_READ_TIME_MIN,REGISTRATION_IPV4,REGISTRATION_LOCATION,TOTAL_VOTES_GAVE_NB,TOTAL_VOTES_GAVE_DS,TOTAL_VOTES_GAVE_DC,ISBOT
94,Cameron RussellBray,Male,salinasashley@example.net,False,51.0,68.0,2.0,6.0,142.0,28.57,,Senegal,10.0,10.0,0.0,False
95,Brent Burton IIStewart,Male,larrymoss@example.com,,10.0,120.0,3.0,7.0,59.0,9.12,66.188.92.96,Korea,23.0,8.0,2.0,False
96,Brandon Walters Jr.Hill,Male,hpollard@example.com,True,62.0,13.0,5.0,,,11.56,175.24.24.181,,18.0,9.0,1.0,False
97,Jerry AndersonGarcia,Male,kristen81@example.net,False,53.0,112.0,1.0,8.0,83.0,4.41,135.145.226.77,Vanuatu,16.0,5.0,2.0,False
98,Justin MedinaHerrera,Male,lowens@example.com,False,69.0,120.0,6.0,21.0,56.0,18.35,174.255.19.157,,21.0,,1.0,False
99,William RandallHicks,Male,lesliewilliams@example.net,False,2.0,0.0,0.0,1.0,13.0,1.13,212.174.52.169,Reunion,23.0,4.0,1.0,True
100,Brandon ClarkCook,Male,qmartin@example.org,False,4.0,96.0,4.0,,26.0,25.6,197.28.198.84,Nepal,12.0,3.0,1.0,False
101,,Female,ayerskelli@example.org,False,12.0,113.0,3.0,,,9.16,,Burundi,18.0,9.0,1.0,False
102,Alan LarsonTrevino,Male,smithjohn@example.com,True,59.0,79.0,4.0,24.0,81.0,13.17,3.196.15.104,Sudan,10.0,5.0,3.0,False
103,Daniel BennettAlexander,Male,phelpsjerry@example.org,False,,3.0,0.0,1.0,,0.28,189.45.126.240,Uzbekistan,11.0,4.0,0.0,True
104,Christy PattonOneal,Female,hendersonrobert@example.org,True,55.0,91.0,4.0,13.0,38.0,13.74,210.84.126.178,Nepal,10.0,10.0,0.0,False
105,Joe ClarkAdams,Male,robert74@example.com,False,20.0,,6.0,8.0,38.0,16.53,142.153.191.97,Singapore,10.0,7.0,0.0,False
106,Cody LewisBecker,Male,jmacdonald@example.com,True,8.0,62.0,2.0,22.0,79.0,22.17,26.190.26.192,Qatar,10.0,9.0,3.0,False
107,Ethan BradyCarpenter,Male,ochoajason@example.net,True,4.0,77.0,1.0,14.0,27.0,15.75,211.6.202.52,,,8.0,,
108,David VazquezColeman,Male,evanvasquez@example.net,True,15.0,68.0,6.0,6.0,137.0,20.92,220.209.245.106,Canada,25.0,10.0,,False
109,Bradley FullerHardin,Male,debrajacobs@example.org,False,1.0,2.0,0.0,1.0,4.0,0.4,174.170.142.112,Malawi,18.0,4.0,2.0,True
110,Erik SmithBurton,Male,mpierce@example.org,True,,9.0,0.0,17.0,63.0,7.33,19.26.80.89,Dominica,12.0,3.0,2.0,False
111,Danielle QuinnConley,Female,jmcdonald@example.net,False,18.0,109.0,7.0,24.0,40.0,10.77,132.2.93.168,Ukraine,17.0,9.0,1.0,False
112,Nathaniel HansenSchmidt,Male,eroman@example.com,False,54.0,18.0,7.0,7.0,81.0,9.26,175.16.201.186,Netherlands Antilles,12.0,7.0,3.0,False
113,Vincent FoxGrant,Male,ltucker@example.net,False,0.0,2.0,0.0,0.0,2.0,0.86,219.103.12.50,Iraq,24.0,4.0,3.0,True
114,Shawn LinValentine,Male,,False,2.0,1.0,0.0,1.0,,0.33,201.25.141.14,Solomon Islands,,8.0,1.0,True
115,Patricia BrownDunn,,david30@example.org,False,,76.0,5.0,9.0,128.0,19.85,170.44.188.43,Macedonia,15.0,3.0,3.0,False
116,Eugene NorrisFletcher,Male,josephoconnell@example.net,True,64.0,41.0,4.0,10.0,132.0,24.52,222.201.222.132,Sudan,19.0,8.0,1.0,False
117,Shawn GibsonBond,Male,dsantos@example.com,False,1.0,1.0,0.0,1.0,8.0,1.51,132.235.65.103,Somalia,25.0,7.0,3.0,True
118,Eric AndersonSchwartz,Male,perezrichard@example.com,False,66.0,14.0,7.0,14.0,137.0,23.97,126.98.153.139,Belize,12.0,9.0,1.0,False
119,David OrtizMcdonald,Male,brian95@example.net,False,0.0,1.0,0.0,1.0,1.0,1.71,195.203.57.208,Maldives,14.0,9.0,1.0,True
120,,Male,williamschristopher@example.net,False,32.0,117.0,3.0,21.0,103.0,6.43,209.46.249.120,South Africa,23.0,4.0,2.0,False
121,Alexandra ShafferMcgrath,Female,wilsonarthur@example.org,True,54.0,33.0,3.0,7.0,65.0,,184.194.184.118,Anguilla,18.0,4.0,2.0,False
122,Kevin HallWilson,,karenowen@example.net,False,38.0,17.0,1.0,15.0,36.0,27.15,212.199.47.136,Sao Tome and Principe,10.0,4.0,1.0,False
123,Richard WilliamsFreeman,Male,dramirez@example.net,False,1.0,3.0,0.0,1.0,7.0,0.32,117.31.219.145,Anguilla,11.0,10.0,1.0,True
124,Tina StewartBarron,Female,cynthia73@example.org,True,36.0,41.0,4.0,7.0,80.0,22.27,204.181.57.24,Serbia,10.0,6.0,0.0,False
125,Donald MccarthyButler,Male,xbrown@example.net,True,69.0,115.0,2.0,18.0,60.0,11.97,,Pakistan,24.0,8.0,1.0,False
126,Joseph DaviesCummings,Male,sheila61@example.net,True,56.0,109.0,7.0,13.0,76.0,25.16,18.255.239.34,Estonia,18.0,8.0,2.0,False
127,,Male,zstokes@example.net,False,29.0,29.0,7.0,17.0,72.0,13.32,206.115.162.221,Peru,,9.0,3.0,False
128,Douglas DaltonJackson,Male,jmartin@example.net,False,22.0,109.0,0.0,17.0,49.0,,70.75.18.175,Papua New Guinea,19.0,5.0,3.0,False
129,Justin BennettLynch,Male,ugarcia@example.net,,1.0,,0.0,1.0,0.0,0.39,32.54.225.47,Vietnam,18.0,5.0,0.0,True
130,Andrew RiggsSanchez,,xday@example.org,False,51.0,38.0,6.0,13.0,139.0,4.93,11.136.135.216,Ethiopia,25.0,5.0,2.0,False
131,Francisco DouglasMacias,Male,xmoore@example.com,,37.0,69.0,5.0,20.0,70.0,25.92,44.11.199.3,Cyprus,17.0,,2.0,
132,Colton JonesPatterson,Male,gina67@example.com,False,19.0,,4.0,3.0,135.0,19.66,192.26.55.72,Brunei Darussalam,19.0,7.0,3.0,False
133,Christopher DavidsonHart,Male,john92@example.net,False,59.0,43.0,6.0,19.0,,15.97,214.116.223.78,Ireland,14.0,8.0,0.0,False
134,Bryan HinesWilson,Male,bhutchinson@example.org,False,51.0,35.0,4.0,7.0,51.0,4.47,221.5.231.220,Bangladesh,,9.0,3.0,False
135,Jackson YuMartinez,Male,gary04@example.com,False,48.0,4.0,7.0,4.0,142.0,19.93,216.84.185.232,Andorra,11.0,4.0,0.0,
136,Erik MorrisWilson,Male,williammay@example.org,False,17.0,12.0,,12.0,27.0,9.26,160.6.98.64,Jersey,14.0,3.0,1.0,False
137,Craig PowellWallace,Male,thardy@example.net,,46.0,89.0,7.0,13.0,35.0,20.55,66.193.78.179,Senegal,,6.0,0.0,False
138,Nicholas SimmonsJoseph,Male,matthew78@example.org,False,70.0,72.0,,15.0,58.0,,175.40.170.14,Israel,23.0,10.0,3.0,
139,,Male,webbrachel@example.com,True,28.0,5.0,4.0,,109.0,19.94,153.116.251.122,India,,3.0,1.0,False
140,Nicholas MillerHutchinson,Male,,False,6.0,19.0,,3.0,54.0,6.49,207.84.229.168,Niue,12.0,4.0,1.0,False
141,Carrie ArnoldJackson,Female,jeremiahnash@example.org,False,54.0,46.0,7.0,8.0,93.0,,170.70.246.211,Sri Lanka,12.0,4.0,3.0,False
142,Crystal BanksHall,Female,,True,27.0,119.0,4.0,17.0,98.0,28.81,94.34.214.102,Oman,21.0,8.0,3.0,False
143,David GibsonRobles,Male,zclark@example.net,False,21.0,81.0,4.0,7.0,146.0,15.2,39.220.0.194,Lao People's Democratic Republic,,4.0,,False
144,Shaun AllenGonzales,Male,margaret48@example.net,False,0.0,,0.0,1.0,2.0,,218.85.127.170,Cote d'Ivoire,12.0,8.0,0.0,True
145,Sandra LeePerry,Female,powellchristopher@example.net,True,19.0,51.0,4.0,6.0,74.0,6.12,163.150.232.17,Guam,23.0,6.0,,
146,Nathaniel OchoaMerritt,Male,carla22@example.com,False,30.0,35.0,7.0,5.0,64.0,19.38,150.185.119.173,Fiji,23.0,7.0,0.0,False
147,Michelle JohnsonGomez,Female,mchambers@example.com,False,0.0,2.0,0.0,1.0,11.0,0.64,219.116.241.174,Lithuania,23.0,4.0,0.0,True
148,,Male,brandy41@example.com,False,0.0,0.0,0.0,1.0,13.0,1.79,129.153.40.24,Nigeria,19.0,9.0,0.0,True
149,John WangPacheco,,stacy10@example.net,True,24.0,12.0,7.0,21.0,,14.93,203.12.145.31,Grenada,21.0,4.0,1.0,
150,Nicholas MontgomeryWilliams,Male,jamesmurphy@example.net,False,70.0,63.0,1.0,25.0,149.0,20.25,223.144.180.210,Uzbekistan,19.0,8.0,0.0,False
151,Glenn ChambersHammond,Male,zharrison@example.org,True,21.0,18.0,,,29.0,17.6,103.141.27.100,New Caledonia,,3.0,0.0,False
152,Jeremy SmithHansen,Male,parkermelissa@example.net,True,65.0,109.0,2.0,4.0,66.0,18.32,179.141.103.145,Saint Pierre and Miquelon,16.0,8.0,2.0,False
153,Victoria HamiltonVaughn,Female,anthonycarter@example.org,True,18.0,81.0,4.0,12.0,27.0,26.88,223.234.2.30,Mexico,11.0,10.0,0.0,False
154,Brian MillerGood,Male,kristen45@example.net,False,18.0,3.0,0.0,17.0,33.0,27.98,190.153.44.173,Antarctica (the territory South of 60 deg S),19.0,3.0,0.0,False
155,Edgar HowardVillarreal,Male,bwashington@example.com,False,53.0,97.0,7.0,3.0,96.0,,184.230.10.201,Israel,18.0,5.0,2.0,False
156,Steven WatsonBishop,,estesmichael@example.net,False,,26.0,5.0,24.0,71.0,27.6,182.185.112.77,Sri Lanka,19.0,9.0,1.0,False
157,,,chadhunter@example.org,False,,4.0,7.0,6.0,45.0,11.37,150.165.114.255,Andorra,25.0,9.0,1.0,False
158,Jesse NguyenSchroeder,Male,victoriabeard@example.org,,,3.0,,3.0,38.0,25.73,135.138.98.98,Kiribati,23.0,10.0,0.0,False
159,Andrew FitzgeraldRobertson,Male,jbrown@example.com,False,14.0,64.0,4.0,9.0,126.0,26.84,22.41.123.182,Venezuela,14.0,6.0,2.0,False
160,Spencer CruzWood,Male,jessicaharper@example.com,True,,78.0,3.0,19.0,91.0,,70.211.30.122,Benin,19.0,6.0,2.0,False
161,Andrew KiddBaker,Male,meganmurray@example.org,True,67.0,89.0,,18.0,39.0,15.21,131.243.54.102,Kuwait,,6.0,0.0,False
162,Wesley JohnsMartinez,Male,obrown@example.net,False,41.0,15.0,6.0,4.0,37.0,19.53,130.51.2.172,Bhutan,25.0,4.0,1.0,
163,Gregory PetersonFisher,,damonnolan@example.com,False,0.0,0.0,0.0,0.0,1.0,1.72,203.17.26.5,Bouvet Island (Bouvetoya),25.0,5.0,0.0,True
164,Jason KochReed,,carsonmichael@example.com,True,19.0,57.0,3.0,12.0,25.0,13.39,174.55.117.209,Belgium,14.0,9.0,3.0,False
165,,Female,pattonanna@example.org,False,19.0,,3.0,,103.0,27.68,63.117.172.127,Mauritania,20.0,9.0,0.0,False
166,Kevin PhillipsFowler,Male,colecarrie@example.com,False,36.0,119.0,7.0,14.0,92.0,8.86,199.231.210.162,Italy,11.0,6.0,2.0,False
167,Peter WardBanks,Male,aliciawilliams@example.net,False,34.0,11.0,3.0,12.0,147.0,26.4,169.116.4.242,French Guiana,14.0,5.0,2.0,False
168,Mr. Ian Shaw DDSStephens,Male,frankkrueger@example.com,False,3.0,68.0,,17.0,70.0,29.41,206.238.209.113,,11.0,4.0,0.0,False
169,Casey Vasquez DDSKeith,Male,dclayton@example.net,,49.0,48.0,6.0,4.0,150.0,14.64,56.240.172.35,French Polynesia,12.0,5.0,1.0,False
170,Lisa NealBurgess,Female,michaelharris@example.com,True,6.0,53.0,4.0,4.0,61.0,13.42,220.223.55.2,Netherlands Antilles,24.0,7.0,3.0,False
171,Alicia FigueroaThompson,Female,ocarney@example.net,False,14.0,78.0,6.0,19.0,115.0,4.32,208.108.167.219,Maldives,11.0,9.0,2.0,False
172,Bradley GordonThompson,Male,vscott@example.org,True,70.0,116.0,7.0,,81.0,4.77,154.9.158.195,San Marino,18.0,4.0,1.0,False
173,Rebecca HowardRobertson,Female,,True,19.0,16.0,4.0,13.0,88.0,27.6,194.38.225.138,Kazakhstan,,10.0,2.0,False
174,Dakota PerezKirk,Male,spacheco@example.net,False,2.0,2.0,0.0,1.0,12.0,0.27,217.36.120.172,American Samoa,22.0,5.0,2.0,True
175,,Male,teresasanchez@example.net,True,4.0,14.0,6.0,5.0,125.0,25.81,204.47.32.135,Tuvalu,12.0,6.0,3.0,False
